Common Bangla name,Scientific name,Collection district,Anatomical parts excluded prior to analysis
Inland capture,,,
Small indigenous fish species (SIS),,,
Baim,Mastacembelus armatus,Mymensingh,"Bones, viscera, fins, skin, dorsal spine, snout"
"Bele, Bailla",Glossogobius giuris,Mymensingh,"Viscera, fins, scales"
Boro Kholisha,Colisa fasciata,Mymensingh,"Viscera, fins, scales"
Chanda,Pseudambassis ranga,Khulna,"Viscera, fins"
Chapila,Gudusia chapra,Mymensingh,"Viscera, fins, scales"
Chela,Chela cachius,Mymensingh,"Viscera, fins, scales"
Darkina,Esomus danricus,Mymensingh,"Viscera, scales"
Dhela,Osteobrama cotio cotio,Mymensingh,"Viscera, fins, scales"
Ekthute,Hyporhamphus limbatus,Khulna,"Viscera, fins"
Foli,Notopterus notopterus,Mymensingh,"Bones, viscera, fins, scales, operculum"
Golsha,Mystus cavasius,Mymensingh,"Bones, viscera, fins, barbell"
Guchi,Mastacembelus pancalus,Mymensingh,"Viscera, fins"
Gutum,Lepidocephalichthys guntea,Mymensingh,"Viscera, fins"
Jat Punti,Puntius sophore,Sylhet,"Viscera, fins, scales"
Kachki,Corica soborna,Mymensingh,No parts removed
"Kajuli, Bashpata",Ailia coila,Sylhet,"Bones, viscera, fins, scales"
Kakila,Xenontedon cancila,Mymensingh,"Bones, viscera, fins, snout"
Koi,Anabas testudineus,Mymensingh,"Bones, viscera, fins, scales, gills"
"Kuli, Bhut Bailla",Eleotris fusca,Khulna,"Viscera, fins, scales"
Magur,Clarias batrachus,Mymensingh,"Bones, viscera, gills, barbell"
Meni,Nandus nandus,Mymensingh,"Viscera, fins, scales, gills, operculum"
Modhu Pabda,Ompok pabda,Mymensingh,"Bones, fins, viscera"
Mola,Amblypharyngodon mola,Mymensingh,"Viscera, fins, scales"
aMola (cultured),Amblypharyngodon mola,Dinajpur,"Viscera, fins, scales"
"Rani, Bou",Botia dario,Sylhet,"Viscera, fins"
Shing,Heteropneustes fossilis,Mymensingh,"Bones, viscera, barbell, gills"
Taki,Channa punctatus,Mymensingh,"Bones, viscera, fins, scales"
Tara Baim,Macrognathus aculeatus,Mymensingh,Viscera
Tengra,Mystus vittatus,Mymensingh,"Viscera, barbel"
Tit Punti,Puntius ticto,Mymensingh,"Viscera, fins, scales"
Large fish species,,,
Gojar,Channa marulius,Sylhet,"Bones, viscera, fins, scales, gills"
Ilish,Tenualosa ilisha,Khulna,"Bones, viscera, fins, scales"
Jatka Ilish,Tenualosa ilisha (juvenile),Sylhet,"Bones, viscera, fins, scales"
Shol,Channa striatus,Sylhet,"Bones, viscera, scales, gills, fins"
Shrimp/prawn,,,
Harina Chingri,Metapenaeus monoceros,Khulna,"Viscera, shell, legs, tail"
Najari Icha,Macrobrachium malcolmsonii,Mymensingh,"Viscera, shell, legs, tail"
Inland aquaculture,,,
Indigenous major carps,,,
Catla,Catla catla,Mymensingh,"Bones, viscera, fins, scales, gills"
Mrigal,Cirrhinus mrigala,Mymensingh,"Bones, viscera, fins, scales, gills"
Rui,Labeo rohita,Mymensingh,"Bones, viscera, scales, fins, gills, snout, operculum"
Introduced fish species,,,
Common Carp,Cyprinus carpio,Khulna,"Bones, viscera, fins, scales, gills, operculum"
Grass Carp,Ctenopharyngodon idella,Mymensingh,"Bones, viscera, fins, scales, gills, operculum"
Silver Carp,Hypophthalmichthys molitrix,Mymensingh,"Bones, viscera, gills, fins, operculum"
Thai Pangas,Pangasianodon hypophthalmus,Mymensingh,"Bones, viscera, gills, fins, operculum"
Majhari Thai Pangas,Pangasianodon hypophthalmus (juvenile),Sylhet,"Bones, viscera, fins, barbel"
Thai Sarpunti,Barbonymus gonionotus,Mymensingh,"Bones, viscera, fins, scales, gills, operculum"
Tilapia,Oreochromis niloticus,Mymensingh,"Bones, viscera, fins, scales, gills"
Majhari Tilapia,Oreochromis niloticus (juvenile),Mymensingh,"Bones, viscera, fins, scales, gills"
Marine capture,,,
Foli Chanda,Pampus argenteus,Khulna,"Bones, viscera, fins"
Kata Phasa,Stolephorus tri,Cox’s Bazar,Viscera
Lal poa,Johnius argentatus,Cox’s Bazar,"Viscera, fins, scales"
Maita,Scomberomorus guttatus,Cox’s Bazar,"Bones, viscera, fins, scales"
Murbaila,Platycephalus indicus,Cox’s Bazar,"Bones, viscera, fins, scales"
Parse,Liza parsia,Khulna,"Bones, viscera, fins, scales, gills"
Tailla,Eleutheronema tetradactylum,Cox’s Bazar,"Bones, viscera, fins, scales"
Tular Dandi,Sillaginopsis panijus,Cox’s Bazar,"Bones, viscera, fins, scales"
