aNutrient,Unit,Nutrient content per 100 g raw edible parts,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,"Ilish Jatka Jat Kajuli,",Koi,Modhu,Parse,"Rani,",Thai,Majhari
,,Ilish Punti Bashpata,,Pabda,,Bou,Pangas,Thai Pangas
Total fat (mean),g,18.3 7.7 7.2 12.6,12.8,9.5,14.3,10.6,17.7,1.4
Total SFA,g,8.9 3.8 2.2 5.4,4.8,3.6,7.4,4,7.5,0.5
Total MUFA,g,6.9 2.5 2.4 5.2,5.7,4.2,4.5,4,7.7,0.4
Total PUFA,g,3.6 1.6 2.5 2.1,1.9,1.7,2.7,2.7,2.6,0.5
C12:0,mg,13 32 30 65,11,20,12,180,nd,nd
C13:0,mg,nd nd nd nd,nd,10,nd,35,nd,nd
C14:0,mg,1550 710 100 580,270,150,630,430,620,52
C15:0,mg,64 36 56 100,36,98,310,160,29,nd
C16:0,mg,5780 2310 1290 3270,3270,2270,5530,2690,5180,310
C17:0,mg,36 28 88 180,55,120,160,230,31,22
C18:0,mg,1320 620 570 1120,1050,750,610,100,1560,130
C20:0,mg,25 16 28 41,39,43,26,36,35,nd
C22:0,mg,19 18 16 17,11,27,18,19,19,nd
C24:0,mg,20 22 19 42,28,41,21,42,nd,nd
C14:1,mg,11 nd 28 100,14,98,63,71,11,18
C15:1,mg,nd nd 15 38,nd,39,21,38,nd,nd
C16:1,mg,2110 820 190 580,390,490,1930,760,160,51
C17:1,mg,10 nd 22 72,27,62,150,92,16,nd
C18:1n-6,mg,nd nd nd nd,16,13,53,12,nd,nd
C18:1n-7,mg,700 280 130 310,230,270,470,370,210,48
C18:1n-9,mg,3730 1240 1790 3680,4890,2850,1490,2040,7010,180
C20:1n-9,mg,250 65 32 52,120,83,30,61,210,nd
"C20:1n-11,13",mg,nd nd 34 15,11,41,22,120,14,nd
C22:1n-9,mg,24 nd nd nd,47,nd,nd,nd,23,nd
"C22:1n-11,13",mg,nd nd nd nd,nd,nd,nd,nd,nd,nd
C24:1,mg,25 15 nd nd,10,nd,12,nd,nd,nd
C18:2n-6 (LA),mg,120 88 1710 410,1100,760,220,440,1820,77
C18:3n-6,mg,47 16 43 33,80,25,91,31,42,nd
C20:2n-6,mg,nd nd nd 25,nd,71,nd,nd,77,nd
C20:3n-6,mg,57 21 46 46,65,55,27,61,110,15
C20:4n-6,mg,170 110 140 260,57,200,165,230,70,57
C22:4n-6,mg,34 20 35 53,22,32,34,56,38,29
C22:5n-6,mg,58 21 nd nd,nd,nd,13,nd,nd,nd
Total n-6 PUFA,mg,486 276 1974 827,1324,1143,550,818,2157,178
C18:3n-3 (ALA),mg,24 27 150 430,81,140,370,300,140,69
C18:4n-3,mg,110 50 19 nd,18,nd,300,16,nd,nd
C20:3n-3,mg,nd nd nd 25,nd,28,26,55,13,nd
C20:4n-3,mg,120 44 10 81,19,13,99,48,11,20
C20:5n-3 (EPA),mg,1200 430 40 160,30,68,400,96,13,38
C21:5n-3,mg,nd nd nd nd,nd,nd,nd,nd,11,nd
C22:5n-3,mg,270 94 24 120,59,53,120,84,19,24
C22:6n-3 (DHA),mg,310 230 86 190,170,100,120,120,37,60
Total n-3 PUFA,mg,2034 875 329 1006,377,402,1435,719,244,211
n-6: n-3 PUFA,–,0.2:1 0.3:1 6:1 0.8:1,3.5:1,2.8:1,0.4:1,1.1:1,8.8:1,0.8:1
