Date,Target Price,Reco,Date.1,Target Price.1,Reco.1,ApDr-a2t1e,Target Price.2,Reco.2
27-Jul-18,375,Buy,23-Sep-19,300,Buy,Ma2y3-2-O1 ct-20,500.0,Buy
10-Sep-18,400,Buy,1-Oct-19,300,Buy,Ju8n-2Ja1n-21,520.0,Add
24-Oct-18,400,Buy,23-Oct-19,300,Buy,Ju2l-22-1Jan-21,440.0,Add
26-Oct-18,400,Buy,12-Dec-19,350,Buy,16-Feb-21,440.0,Add
7-Jan-19,400,Buy,24-Jan-20,350,Buy,6-Apr-21,440.0,Add
25-Jan-19,410,Buy,1-Apr-20,340,Buy,29-Apr-21,430.0,Add
25-Feb-19,400,Buy,17-Apr-20,340,Buy,,,
3-Apr-19,375,Buy,4-May-20,400,Buy,,,
26-Apr-19,340,Add,16-May-20,380,Buy,,,
17-Jun-19,340,Add,24-Jul-20,460,Add,,,
26-Jul-19,300,Buy,1-Sep-20,460,Buy,,,
17-Sep-19,300,Buy,6-Oct-20,525,Buy,,,
