Y/E March,FY20,FY21,FY22E,FY23E,FY24E,Y/E March.1,FY20.1,FY21.1,FY22E.1,FY23E.1,FY24E.1
Net sales,"63,005","71,058","83,828","1,05,675","1,28,127",Profit before tax,"11,474","11,343","12,659","19,091","24,090"
Total operating income,"63,005","71,058","83,828","1,05,675","1,28,127",Depreciation & Amortisation,"5,522","7,151","8,193","9,290","11,162"
Cost of goods sold,"(19,895)","(22,085)","(25,148)","(31,597)",-,Chg in working capital,"(1,651)","(4,238)","4,844","(9,832)","(9,823)"
Gross profit,"43,110","48,973","58,680","74,078","1,28,127",Cash flow from operations,"12,831","11,597","22,660","13,963","19,510"
Gross margin (%),68.4,68.9,70.0,70.1,100.0,Capital expenditure,"(18,294)","(17,367)","(20,000)","(14,000)","(12,000)"
Total operating expenses,"(27,079)","(32,447)","(38,079)","(46,083)","(55,184)",Cash flow from investing,"(15,589)","(36,247)","(20,000)","(14,000)","(12,000)"
EBITDA,"16,031","16,526","20,601","27,995","72,943",Equity raised/ (repaid),-,-,-,-,-
EBITDA margin (%),25.4,23.3,24.6,26.5,56.9,Debt raised/ (repaid),186,"5,872","(3,678)","(3,310)","(2,979)"
Depreciation,"(5,522)","(7,151)","(8,193)","(9,290)","(11,162)",Dividend paid,(701),-,"(1,444)","(1,444)","(1,444)"
EBIT,"10,509","9,375","12,408","18,705","61,780",Cash flow from financing,"3,876","25,640","(5,123)","(4,755)","(4,424)"
Net interest,(649),(577),(699),(645),(580),Net chg in cash,"1,118",990,"(2,462)","(4,791)","3,086"
Other income,"1,614","2,545",950,"1,030","1,200",,,,,,
Profit before tax,"11,474","11,343","12,659","19,091","62,400",,,,,,
,,,,,,Key ratios,,,,,
Total taxation,"(3,151)","(2,215)","(2,785)","(4,200)","(5,300)",,,,,,
,,,,,,Y/E March,FY20,FY21,FY22E,FY23E,FY24E
Tax rate (%),27.5,19.5,22.0,22.0,8.5,,,,,,
,,,,,,OPERATIONAL,,,,,
Profit after tax,"8,323","9,128","9,874","14,891","57,100",,,,,,
,,,,,,FDEPS (Rs),5.5,5.0,6.6,11.0,13.7
Minorities,"(1,227)","(1,057)","(1,338)","(1,836)","(2,522)",,,,,,
,,,,,,CEPS (Rs),10.8,12.1,13.5,18.7,23.0
Profit/ Loss associate co(s),(289),(792),(561),150,150,,,,,,
,,,,,,DPS (Rs),1.0,1.0,1.0,1.0,1.0
Adjusted net profit,"6,628","5,979","7,975","13,205","16,418",,,,,,
,,,,,,Dividend payout ratio (%),16.0,16.2,15.0,9.1,7.3
Adj. PAT margin (%),10.5,8.4,9.5,12.5,12.8,,,,,,
,,,,,,GROWTH,,,,,
Net non-recurring items,854,"1,426",-,-,-,,,,,,
,,,,,,Net sales (%),14.3,12.8,18.0,26.1,21.2
Reported net profit,"7,482","7,405","7,975","13,205","16,418",,,,,,
,,,,,,EBITDA (%),15.0,3.1,24.7,35.9,160.6
,,,,,,,,,,,
,,,,,,Adj net profit (%),(8.4),(9.8),33.4,65.6,24.3
,,,,,,,,,,,
,,,,,,FDEPS (%),(8.4),(9.8),33.4,65.6,24.3
Balance Sheet (Rs mn),,,,,,PERFORMANCE,,,,,
Y/E March,FY20,FY21,FY22E,FY23E,FY24E,RoE (%),10.4,8.3,10.1,15.4,17.3
Paid-up capital,"6,000","6,000","6,000","6,000","6,000",RoCE (%),13.2,10.1,9.6,13.8,41.6
Reserves & surplus,"61,058","70,269","76,230","82,761","94,521",EFFICIENCY,,,,,
Net worth,"67,058","76,269","82,230","88,761","1,00,521",Asset turnover (x),0.8,0.7,0.8,0.8,0.9
Borrowing,"19,797","36,783","33,105","29,794","26,815",Sales/ total assets (x),0.5,0.4,0.4,0.5,0.6
Other non-current liabilities,"5,363","15,033","15,033","15,033","15,033",Working capital/ sales (x),0.0,0.0,0.0,0.0,0.0
Total liabilities,"98,991","1,36,892","1,40,512","1,45,569","1,56,872",Receivable days,71,63,75,75,75
Gross fixed assets,"90,087","1,00,448","1,20,448","1,34,448","1,46,448",Inventory days,112,125,101,103,177
Less: Depreciation,"(31,659)","(38,342)","(46,535)","(55,825)","(66,987)",Payable days,103,101,106,106,180
Net fixed assets,"58,428","62,106","73,913","78,623","79,461",FINANCIAL STABILITY,,,,,
Add: Capital WIP,"21,960","28,002","7,500","7,500","5,000",Total debt/ equity (x),0.3,0.5,0.4,0.3,0.2
Total fixed assets,"80,388","90,108","81,413","86,123","84,461",Net debt/ equity (x),0.0,0.1,(0.3),(0.3),(0.4)
Total Investment,"9,661","19,519","12,500","12,500","12,500",Current ratio (x),1.2,1.6,1.8,1.7,1.7
Inventory,"14,359","18,666","17,464","22,016","26,693",Interest cover (x),16.2,16.2,17.8,29.0,106.5
Debtors,"12,237","12,176","17,225","21,714","26,327",VALUATION,,,,,
Cash & bank,"9,986","20,154","48,023","46,969","59,336",PE (x),72.1,79.9,59.9,36.2,29.1
Loans & advances,"17,807","24,600","19,211","24,217","29,362",EV/ EBITDA (x),30.3,29.7,22.4,16.5,6.1
Current liabilities,"45,447","48,331","55,324","67,970","81,807",EV/ Net sales (x),7.7,6.9,5.5,4.4,3.5
Net current assets,"8,942","27,265","46,599","46,946","59,911",PB (x),7.1,6.3,5.8,5.4,4.8
Total assets,"98,991","1,36,892","1,40,512","1,45,569","1,56,872",Dividend yield (%),0.3,0.3,0.3,0.3,0.3
,,,,,,Free cash flow yield (%),(1.1),(1.2),0.6,0.0,1.6
